DATE,STATUS/TIME,AWAY,HOME
18-Oct-2024,Final,Okanagan,VIU
19-Oct-2024,Final,Okanagan,VIU
25-Oct-2024,Final,Camosun,Okanagan
26-Oct-2024,Final,Camosun,Okanagan
01-Nov-2024,Final,Okanagan,Capilano
02-Nov-2024,Final,Okanagan,Capilano
15-Nov-2024,Final,Langara,Okanagan
16-Nov-2024,Final,Langara,Okanagan
22-Nov-2024,Final,Okanagan,CBC
23-Nov-2024,Final,Okanagan,CBC
29-Nov-2024,8:00 PM,Douglas,Okanagan
30-Nov-2024,3:00 PM,Douglas,Okanagan
10-Jan-2025,8:00 PM,Okanagan,Camosun
11-Jan-2025,3:00 PM,Okanagan,Camosun
17-Jan-2025,8:00 PM,Okanagan,Langara
18-Jan-2025,3:00 PM,Okanagan,Langara
24-Jan-2025,7:00 PM,VIU,Okanagan
25-Jan-2025,2:00 PM,VIU,Okanagan
07-Feb-2025,8:00 PM,CBC,Okanagan
08-Feb-2025,3:00 PM,CBC,Okanagan
14-Feb-2025,8:00 PM,Capilano,Okanagan
15-Feb-2025,3:00 PM,Capilano,Okanagan
21-Feb-2025,8:00 PM,Okanagan,Douglas
22-Feb-2025,3:00 PM,Okanagan,Douglas
